model_name,task_name,total_trials,trial_ids,trial_names,successful_trials,execution_times_sec,setup_times_sec,success_rate,resolves_task,successful_trial_ids
OpenAI/gpt-oss-20B,cobol-modernization,5,"['40b7f302-ba98-4531-9163-ea1f4de8db7f', 'b86f0b24-e961-43a0-8712-515abb171646', 'd42b7534-4973-449d-ac23-2c662367124f', 'fac03630-83fa-4994-9021-15a0789c8dbd', '512780bd-2799-47af-9c82-8aad4a47f567']","['cobol-modernization__RuRjt4q', 'cobol-modernization__UCpGBkb', 'cobol-modernization__HoBPpUr', 'cobol-modernization__4sKEgZP', 'cobol-modernization__t9pmwsK']",0,"[914.721612, 914.552962, 920.936867, 914.934667, 211.925308]","[46.229971, 50.802985, 119.210785, 53.693449, 55.889986]",0.0,False,[]
OpenAI/gpt-oss-20B,code-from-image,5,"['8c4b3e68-ae5f-449f-8144-73be29b7ab11', '924f6034-22de-4b5f-9daa-f5a9151f7a97', 'b35f5b57-f56d-4958-8137-8cc6e3d73957', 'a8d8de43-7c71-4506-a1b0-3bcb214dbbc4', 'bb589b01-66a6-4610-89ee-913042e7ac87']","['code-from-image__dr9u4bz', 'code-from-image__gB9Avso', 'code-from-image__gLcnyGW', 'code-from-image__QcBY6J9', 'code-from-image__ieWURHU']",0,"[89.516199, 64.803339, 42.88561, 30.53173, 32.796986]","[19.207764, 15.999952, 72.568905, 40.892161, 65.127544]",0.0,False,[]
OpenAI/gpt-oss-20B,configure-git-webserver,5,"['0acbeb7c-6c3a-404b-8dfe-a0d9aacc7d93', 'c9a872d7-0547-42ee-ad4c-6844c69dfc4c', '4ad19b08-5854-4974-bbe5-64e5328a55d8', '2ebc23fc-7ddb-41c6-832b-62bbf31be73e', '630206c4-0c29-4798-9ad7-8e52e574e5c3']","['configure-git-webserver__fYARQEy', 'configure-git-webserver__sig2Gs4', 'configure-git-webserver__qYcqCbL', 'configure-git-webserver__mUjqQiA', 'configure-git-webserver__HVEK744']",1,"[104.181251, 254.30957, 149.752211, 356.76794, 591.241932]","[37.562469, 49.190905, 58.829724, 30.004241, 94.294384]",0.2,False,['c9a872d7-0547-42ee-ad4c-6844c69dfc4c']
OpenAI/gpt-oss-20B,constraints-scheduling,5,"['b0a6ac8e-5c70-4a73-b11f-022db4f66eae', 'f5fc4ce5-180d-4f1d-b0c2-07a7f72bc30f', '5b0725c5-1ab5-4b5d-a00f-150016e2fcdb', '9ae33fa8-67e9-453a-af59-1457992f1cac', 'a8ba26b7-655c-4485-983a-a3a3d551f68e']","['constraints-scheduling__zgmaRQ4', 'constraints-scheduling__Wmay4bu', 'constraints-scheduling__9LJ89WG', 'constraints-scheduling__4hhUprb', 'constraints-scheduling__Fjb4GCN']",1,"[192.806271, 74.12003, 206.900755, 195.872986, 311.04735]","[173.213973, 37.619493, 46.496881, 12.660308, 49.813399]",0.2,False,['9ae33fa8-67e9-453a-af59-1457992f1cac']
OpenAI/gpt-oss-20B,count-dataset-tokens,5,"['9c57bd96-8700-4ff8-9b58-3999eb0b95c3', '72b2b9e6-09af-4650-93bc-9971a8660491', 'c0862183-8e5b-4ce4-a85d-61b58affe465', 'ef7c7d72-684c-42a7-a40f-1afbdbaab05d', '5f7e7074-edc2-48c1-b771-572113e7a02b']","['count-dataset-tokens__XJnHMp4', 'count-dataset-tokens__bdDmLNW', 'count-dataset-tokens__gqn8RiA', 'count-dataset-tokens__9tzGrwd', 'count-dataset-tokens__JQJQa2d']",0,"[914.908032, 250.126521, 731.413682, 902.607654, 904.826627]","[45.522409, 100.917241, 113.124475, 35.761084, 36.056869]",0.0,False,[]
OpenAI/gpt-oss-20B,crack-7z-hash,5,"['fdd94540-7594-49a7-bb23-783acb52fe21', 'c8b14e1d-3119-4e5d-93ca-39440cbfe117', '2add1490-1465-49a4-bafc-b9b1c19f266b', '5156ccac-113d-4a64-8dcd-bb3153ab89b5', '4dbe1823-00d9-4988-a879-f62258452369']","['crack-7z-hash__8Y3yt8B', 'crack-7z-hash__XU6ctyb', 'crack-7z-hash__cVbtCjG', 'crack-7z-hash__ZL2Q8DP', 'crack-7z-hash__zs9yQTK']",0,"[44.670902, 6.494683, 12.386415, 24.209075, 36.760144]","[26.584269, 10.58808, 18.531043, 135.177293, 24.363861]",0.0,False,[]
OpenAI/gpt-oss-20B,db-wal-recovery,5,"['11e10566-b462-43f1-9216-f805f03f0392', '23485f97-ff71-42ec-a1f9-1efda9e5d771', '5002fde0-a647-43d4-b942-0f9c6e1dc5ca', '3e4d3122-e7a6-40f3-8239-33e4e9706245', '4ae56090-760a-4635-9528-d708a6624d2e']","['db-wal-recovery__Koiy6sr', 'db-wal-recovery__qTkaN4v', 'db-wal-recovery__iLFsjSL', 'db-wal-recovery__AQoxUoP', 'db-wal-recovery__H3r4wDv']",0,"[148.530202, 106.632391, 68.550202, 326.298205, 59.896131]","[36.518805, 24.197566, 10.499421, 29.11496, 49.66205]",0.0,False,[]
OpenAI/gpt-oss-20B,distribution-search,5,"['648aceaf-ba05-44b2-bc7a-e02573892ee4', 'bf0a34aa-4602-4f5b-ab8f-30df5026db01', 'ebbfbed3-c4d8-4a8f-8a9c-ecf733f3dc47', 'c0a69b8a-d68b-4619-82c3-119c751921d9', '7f58e472-5978-450a-b836-97b96ec69a30']","['distribution-search__bQiHRJd', 'distribution-search__PwoC3Tj', 'distribution-search__xLgAwPJ', 'distribution-search__FGnyqqe', 'distribution-search__prGWwEC']",0,"[101.232021, 72.697168, 134.236845, 128.520165, 119.747625]","[25.475571, 55.929602, 28.122663, 114.620254, 90.097641]",0.0,False,[]
OpenAI/gpt-oss-20B,dna-assembly,5,"['13e970cf-3aa0-47ab-8c9a-303ec4e7b4ab', '679104e1-676c-4505-8748-5e96da2b5f67', '394fe1f8-c289-4c5c-b07e-a7169c09b8d0', 'd3aac658-dcd2-4c5b-a20d-318c6881e5c4', '7ec5016b-f239-40e8-9d01-f49574de6133']","['dna-assembly__NoBz4ih', 'dna-assembly__MTpxrq9', 'dna-assembly__hbXD4UG', 'dna-assembly__nxqfV2H', 'dna-assembly__8qRtQnj']",0,"[721.18646, 227.617005, 328.308152, 72.249329, 738.708681]","[62.102204, 52.349978, 51.167877, 16.412427, 35.561215]",0.0,False,[]
OpenAI/gpt-oss-20B,dna-insert,5,"['09868f26-ef68-4ba2-92c2-2b4624a6902f', '55dadd19-ba2b-4f0a-94cb-ba498bcf2bfa', 'c200ee65-6142-4bae-9d20-bea5f910505b', '623c665d-c336-4e94-8d21-e55ce2dd16bb', '72049f09-05fb-4284-944c-78cfc6d74d3e']","['dna-insert__3gdrMvg', 'dna-insert__665iEgQ', 'dna-insert__hfVCc2L', 'dna-insert__haN67ae', 'dna-insert__iqBPa6s']",0,"[366.914253, 422.784881, 372.228474, 585.561517, 382.027021]","[140.169489, 38.67192, 25.694569, 49.015927, 16.508326]",0.0,False,[]
OpenAI/gpt-oss-20B,extract-elf,5,"['90be352b-40b1-4d3b-aedb-7baca3e0d05f', '21a9659f-de06-42f2-9d1d-82b0b91f417e', '683d4f59-6d7f-422d-a42b-0a726b65423e', 'b47fcd39-a3cb-4d0e-992e-41c130136f58', '69e538e2-a590-4f11-bdbf-8ca774e0142d']","['extract-elf__HxD3cXX', 'extract-elf__XTnmypk', 'extract-elf__TDyDuXN', 'extract-elf__Li9cSdv', 'extract-elf__PnBWRxA']",1,"[42.176015, 902.545987, 143.858656, 57.894756, 90.621321]","[135.154087, 43.403232, 22.027285, 12.682398, 45.864086]",0.2,False,['69e538e2-a590-4f11-bdbf-8ca774e0142d']
OpenAI/gpt-oss-20B,feal-differential-cryptanalysis,5,"['4b071e58-8132-4351-ac84-74de9436119f', '3dae731a-d189-4f14-bfa5-c1efb7d0d997', 'e0b03cca-11df-45ca-8229-5dcec2e172ce', '4f7db1d1-290c-4f6e-994a-ef7251203e4d', '3f097312-f313-44f8-a08e-d0b3be32473b']","['feal-differential-cryptanalysis__ekrPYfH', 'feal-differential-cryptanalysis__q3Pebio', 'feal-differential-cryptanalysis__YNrK3Hr', 'feal-differential-cryptanalysis__K3LSXkn', 'feal-differential-cryptanalysis__DbTrDxu']",0,"[65.323061, 231.52774, 2439.887236, 276.480175, 180.345809]","[23.30966, 95.029445, 180.08822, 16.562334, 36.411004]",0.0,False,[]
OpenAI/gpt-oss-20B,feal-linear-cryptanalysis,5,"['cc28009f-3117-4466-a75f-6fb0cf402b6e', '83f43bf6-9c3d-4b94-a868-e3bc947d5a29', '835e01a1-3a0c-4cd9-9ae1-62774e9554f8', '428be7b3-6c27-44ad-8e77-08cdf281d012', 'bfc30cf3-c2d1-484f-bd40-5cba87c9c021']","['feal-linear-cryptanalysis__ZdMJuCK', 'feal-linear-cryptanalysis__omrtvBe', 'feal-linear-cryptanalysis__8uPngxj', 'feal-linear-cryptanalysis__jccNrcZ', 'feal-linear-cryptanalysis__9MViabC']",0,"[1042.670139, 1814.977613, 1819.826953, 1848.56029, 1836.216547]","[63.468112, 37.619788, 43.779685, 27.273951, 61.348292]",0.0,False,[]
OpenAI/gpt-oss-20B,filter-js-from-html,5,"['9e8a65a4-341a-4191-b20e-b19282e522c3', '9ef00f16-ed04-43ab-a38c-cf44c5f68db1', '901e125f-f6c2-448d-abb4-e68ec54b135c', '86ae226e-e887-4b5e-8180-749d1d2bfc54', '8891dd1c-48f2-4c4c-ad0a-011b8107999d']","['filter-js-from-html__FxcDsoU', 'filter-js-from-html__9qYZ6Vn', 'filter-js-from-html__b2zmUXY', 'filter-js-from-html__9nBBMSW', 'filter-js-from-html__d2mYY6H']",0,"[362.813859, 23.847287, 312.836902, 12.630612, 30.840991]","[61.018757, 44.990125, 43.23453, 23.081222, 32.105422]",0.0,False,[]
OpenAI/gpt-oss-20B,financial-document-processor,5,"['793c9421-dbf2-43ec-b371-98c8abf8e397', '9268506e-45bf-4157-8513-26dd0f6c57c1', '2d8ee2fc-2016-4245-9a1e-1d3ac4749918', 'cfd19a89-1abe-4c5c-9012-cabfa936a0b4', 'fdcd4aad-a898-463e-a532-5a40cd5a9e28']","['financial-document-processor__Xd6vrBu', 'financial-document-processor__jQqck9d', 'financial-document-processor__gPLxgKq', 'financial-document-processor__FWoiEtv', 'financial-document-processor__KxDW7wN']",0,"[45.209994, 128.282891, 76.534794, 99.55459, 100.421997]","[47.511469, 29.593382, 194.013943, 64.10166, 136.656089]",0.0,False,[]
OpenAI/gpt-oss-20B,fix-code-vulnerability,5,"['a1875ad8-1a4e-4f8a-8050-686003be6920', 'b88bd526-aea9-4290-91d6-14fa1cd84bf1', '2ea58c60-b0c8-4e9b-a5aa-2f4958ba1bad', '3d39b1b7-6f24-46d6-bf79-23703ede6295', 'a49fb737-4705-462a-96f3-1544614fa7cc']","['fix-code-vulnerability__qYsvPL6', 'fix-code-vulnerability__uj7Em59', 'fix-code-vulnerability__PYVsTta', 'fix-code-vulnerability__Eg7Dfj3', 'fix-code-vulnerability__ujgGuoL']",0,"[904.798113, 906.414627, 982.462561, 1013.047545, 900.024056]","[9.812766, 4.639908, 44.250446, 82.131512, 19.827374]",0.0,False,[]
OpenAI/gpt-oss-20B,fix-git,5,"['c8e6a74b-a916-4ac5-94e3-15bbe499d3c3', '336786f3-44e9-4241-bb51-282b3bfca6c3', '55e27864-033f-4863-b2fd-2c0fadc49d73', 'f982da4b-04b2-4db7-83fc-467ad22d635d', '1e2e71c0-1c83-46c4-88a9-59e58336cc96']","['fix-git__VDdegzx', 'fix-git__swFKkjp', 'fix-git__L3bcJpN', 'fix-git__H6xzpqQ', 'fix-git__rad5ZgC']",1,"[911.780632, 256.074607, 103.285848, 153.742197, 91.160401]","[21.172295, 52.462312, 46.707654, 51.839512, 40.53448]",0.2,False,['1e2e71c0-1c83-46c4-88a9-59e58336cc96']
OpenAI/gpt-oss-20B,fix-ocaml-gc,4,"['eb30c74b-1c11-4009-b244-0677bdd2ca51', '2eb2a5c6-a060-4a4e-a0f4-42b8a04e8e2c', 'bbd68584-8d73-4538-a6e8-0b466cb4dabf', 'ea6014af-ac3f-4ead-8747-bc79e988f823']","['fix-ocaml-gc__KcoJThg', 'fix-ocaml-gc__PWi7yN4', 'fix-ocaml-gc__EyKDpx5', 'fix-ocaml-gc__bsNScfB']",0,"[197.872133, 587.239527, 189.782575, 3600.737771]","[57.934679, 32.256836, 123.022945, 268.272578]",0.0,False,[]
OpenAI/gpt-oss-20B,form-filling,5,"['5e1c948c-844a-4a8c-8365-a0fbb4e59453', 'dcacb5e0-8329-490c-8a9f-730e0e2a6202', 'ab35bc21-50bb-49b3-8320-275df99d315e', '7b2234a6-f38f-4ffb-9fe4-374651004adc', 'd56f6a1b-b9c1-49a2-9dea-38e180430db7']","['form-filling__LuYX6KM', 'form-filling__FFPjYCt', 'form-filling__qgLJDhz', 'form-filling__tu42s73', 'form-filling__ie3DEjC']",0,"[107.531632, 178.350158, 60.368895, 187.701452, 906.36875]","[39.693382, 56.548834, 3.529811, 4.151272, 23.255559]",0.0,False,[]
OpenAI/gpt-oss-20B,git-leak-recovery,5,"['ba1cb721-476c-4678-b6d9-a32c574299f9', '56dc328c-31f0-410c-ac75-12da0e370794', 'a61f3994-527d-4adb-8aca-fc1eb3c11d24', '45d4a871-c0d3-46a8-bf94-b396141700ea', '6e1012e9-d93a-4f4e-afcb-485424525ae2']","['git-leak-recovery__Eq4u6zS', 'git-leak-recovery__RxNLkkN', 'git-leak-recovery__U8vHMxZ', 'git-leak-recovery__HW28HQy', 'git-leak-recovery__7RtnviP']",0,"[98.778482, 254.141303, 29.240326, 106.92239, 159.565248]","[68.294551, 51.519612, 182.66139, 79.375878, 63.326485]",0.0,False,[]
OpenAI/gpt-oss-20B,gpt2-codegolf,5,"['bfb9b1fc-26f4-42e1-b2d3-a49bbadf4b95', '82d01940-7c56-4554-aa39-595ae80879a5', 'e90c74f8-8785-42e4-97cf-b377cc708d7d', 'e45353e4-e3b0-4389-a617-843ac953c8c7', 'da53f72c-0961-4c90-9fcb-bc6427559a75']","['gpt2-codegolf__iTgSEsv', 'gpt2-codegolf__Cp2MhNB', 'gpt2-codegolf__s4soDrf', 'gpt2-codegolf__mW5zDQs', 'gpt2-codegolf__dxsFrRX']",0,"[774.970246, 910.717093, 10.965606, 210.674505, 902.115949]","[99.741873, 47.927244, 36.400425, 155.123884, 130.234032]",0.0,False,[]
OpenAI/gpt-oss-20B,hf-model-inference,5,"['45f5468c-e184-4704-8a82-118e3cf6c0d1', '7eaf2575-5a2d-44e1-bd1d-8d5ec64bf32c', '063dbee8-7e63-4b3c-a5eb-5e5623214906', 'c61ad51e-9a6c-4085-94fb-66925868beba', '5f351a46-6d51-4254-9daa-c74ecf3f2d92']","['hf-model-inference__Lhwzmsh', 'hf-model-inference__GA3Xcqi', 'hf-model-inference__fGUSTKN', 'hf-model-inference__GFw3UaV', 'hf-model-inference__WWr5EtL']",2,"[129.096941, 66.961364, 156.540089, 905.219522, 238.969891]","[25.932999, 40.918274, 46.388818, 40.000748, 26.044514]",0.4,False,"['7eaf2575-5a2d-44e1-bd1d-8d5ec64bf32c', '5f351a46-6d51-4254-9daa-c74ecf3f2d92']"
OpenAI/gpt-oss-20B,install-klee-minimal,5,"['a0021cd1-27b7-40af-beb5-95c435a72b9d', '49d27d7b-c31b-404d-8dc0-10304583cfa9', 'd7bfb42f-de75-4c2c-be83-ce71a305d884', '9a82236c-73aa-4933-9072-6170ec8f32ab', '5e4c0b84-e784-4546-9881-c8dc44e5abb1']","['install-klee-minimal__dyPLtCU', 'install-klee-minimal__fCwAg7q', 'install-klee-minimal__nSt8A8a', 'install-klee-minimal__4ZUEvLL', 'install-klee-minimal__wS4HocK']",0,"[507.812452, 912.707267, 132.403881, 472.458872, 233.394304]","[173.406265, 103.689194, 90.161779, 77.480307, 149.475199]",0.0,False,[]
OpenAI/gpt-oss-20B,install-windows-3.11,5,"['64931b53-228e-46a7-aa3a-1526a1b8d21a', 'c35a1676-903b-406e-af91-f0375f114072', '7b56cb74-5bd8-4174-a21c-46d1db75dc75', 'd533451c-1bcf-4296-b702-3cc9dbcf5a72', '972a00a6-60a6-4ec3-928f-199ea182a3d1']","['install-windows-3.11__u8Md8UG', 'install-windows-3.11__ZhB93ch', 'install-windows-3.11__CkYbfT6', 'install-windows-3.11__e2koycA', 'install-windows-3.11__7eK4R49']",0,"[186.712339, 39.093198, 243.355714, 3606.884224, 1510.922286]","[14.194608, 30.558615, 118.808968, 39.656993, 25.952671]",0.0,False,[]
OpenAI/gpt-oss-20B,large-scale-text-editing,5,"['6ab32e2a-c3d4-447b-ac01-11ab0712d5f0', 'b8c86452-c159-4f72-9021-5620fb5877fc', 'b3af42e9-65f6-4234-9ff0-2cefa8e50d48', '1b927bd5-a0d3-4364-b630-1f7e80fd9e28', '3adbea08-93ea-4db0-93c1-1d3e809c0cd3']","['large-scale-text-editing__rrzYJPf', 'large-scale-text-editing__rPB2EU3', 'large-scale-text-editing__Wpyfh2C', 'large-scale-text-editing__KC73e8U', 'large-scale-text-editing__i9pnnfs']",0,"[51.851568, 218.138787, 192.586515, 1238.868658, 115.260378]","[75.966265, 156.729157, 43.484625, 128.902189, 20.07828]",0.0,False,[]
OpenAI/gpt-oss-20B,largest-eigenval,5,"['76cecade-671c-4521-bd1c-28b05718238b', 'a5bc764c-9b04-4ed7-bc2b-81d75b416966', '448fc72d-8763-484e-ac7e-ca04df78b9f2', 'f7208ee3-1cda-4070-892d-204c5b8d6e3c', '08622f25-0d54-4aea-b380-6b7dab1d94f0']","['largest-eigenval__ACktBH3', 'largest-eigenval__PiGYWqf', 'largest-eigenval__n3cNQqo', 'largest-eigenval__uX3e7XP', 'largest-eigenval__AfqfoL5']",0,"[165.682031, 30.447841, 87.474697, 210.989092, 45.439537]","[51.655657, 20.178508, 176.067123, 127.547307, 9.015836]",0.0,False,[]
OpenAI/gpt-oss-20B,log-summary-date-ranges,5,"['efdc5c20-1718-47b6-a2b0-32fb91316324', '89d626cc-dd10-435f-84d8-5f6ce239d420', '1fc36c0c-9446-4d39-885e-efa9318ddf08', 'b39ba18e-5c9b-466f-af75-b92ae040c483', 'fed0226a-8ea0-4871-8033-7aa26322c6c8']","['log-summary-date-ranges__FqHFTeN', 'log-summary-date-ranges__tqiSoKt', 'log-summary-date-ranges__jN3iK5q', 'log-summary-date-ranges__W5SLP4f', 'log-summary-date-ranges__82sWPqG']",0,"[100.720318, 237.287327, 70.176661, 248.833063, 52.304569]","[46.008606, 13.12906, 56.270167, 37.701225, 16.888224]",0.0,False,[]
OpenAI/gpt-oss-20B,make-doom-for-mips,5,"['3e855e2b-0bdf-4f53-9db2-804d20315d0b', 'b26ca7ce-077f-40ab-8184-f7941fe9004c', '0294ef5b-3b04-4640-a9ed-dbc7bd635c20', 'd3f409e7-2c2c-4af2-85fc-462581211307', '66da4493-692e-4994-b2c2-b643413bb672']","['make-doom-for-mips__oao2v4d', 'make-doom-for-mips__UsXvxEP', 'make-doom-for-mips__BZhDKKu', 'make-doom-for-mips__9GEckft', 'make-doom-for-mips__EPjaGaQ']",0,"[903.622876, 908.142126, 1001.54888, 350.095345, 917.600996]","[137.677545, 29.67371, 140.584501, 93.324024, 58.319687]",0.0,False,[]
OpenAI/gpt-oss-20B,make-mips-interpreter,5,"['ee777adb-bd45-4d0a-811d-3814eaae0c3d', 'f6a4a0f7-99ac-4714-ba7a-d2a2c2b303d5', 'd2987b53-5eb3-489c-860e-497852477770', '9ae38130-a5d9-4d32-92ba-3b0031549ab2', 'c4dbba28-aee0-47c5-b50b-b07b2d88c58d']","['make-mips-interpreter__YrzgGvX', 'make-mips-interpreter__ysadGQq', 'make-mips-interpreter__XxExAgj', 'make-mips-interpreter__2FpoXyT', 'make-mips-interpreter__cr5aGVz']",0,"[1807.920061, 398.553723, 1816.206139, 1806.003414, 2058.869895]","[70.732603, 53.300231, 243.55586, 11.26189, 20.892769]",0.0,False,[]
OpenAI/gpt-oss-20B,merge-diff-arc-agi-task,5,"['3e744871-e3a7-42ae-8c36-e15d6218105a', 'eabfef9d-eafc-42e7-9724-16d9569da1d4', '61ef7093-b1fa-4d69-9ce6-92721df3d9da', '68d460e9-ba62-4b1b-8064-f2f5461eb415', '6d8ef277-cebf-41e1-80ac-45f337a26299']","['merge-diff-arc-agi-task__sMCobWq', 'merge-diff-arc-agi-task__HbGhNfn', 'merge-diff-arc-agi-task__6KSCzh4', 'merge-diff-arc-agi-task__cEpWaHB', 'merge-diff-arc-agi-task__qWyXeSX']",0,"[60.228993, 907.238202, 900.320443, 152.628457, 128.028064]","[17.89496, 84.626604, 92.717227, 28.997556, 80.717204]",0.0,False,[]
