task_name,model_resolve_rate,model_difficulty,human_difficulty,total_models_tested,models_that_resolve,resolving_models,non_resolving_models
configure-git-webserver,0.5625,medium,hard,16,9,"['Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gpt-5', 'gpt-5-mini', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b']","['OpenAI/gpt-oss-20B', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'zai-org/GLM-4.5-Air-FP8']"
constraints-scheduling,0.75,easy,medium,16,12,"['Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'grok-4-0709', 'grok-code-fast-1', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']","['OpenAI/gpt-oss-20B', 'gemini-2.5-flash', 'gpt-5-nano', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8']"
count-dataset-tokens,0.0,hard,medium,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
crack-7z-hash,0.5,medium,medium,16,8,"['claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'grok-4-0709', 'grok-code-fast-1', 'moonshotai/Kimi-K2-Instruct-0905']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
db-wal-recovery,0.0,hard,medium,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
distribution-search,0.3125,hard,medium,16,5,"['claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
dna-assembly,0.0,hard,hard,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
dna-insert,0.0,hard,medium,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
extract-elf,0.375,medium,medium,16,6,"['Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'deepseek-ai/DeepSeek-V3.1', 'gpt-5-mini', 'grok-code-fast-1', 'moonshotai/Kimi-K2-Instruct-0905']","['OpenAI/gpt-oss-20B', 'claude-sonnet-4-20250514', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-nano', 'grok-4-0709', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
feal-differential-cryptanalysis,0.125,hard,hard,16,2,"['gemini-2.5-pro', 'grok-4-0709']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
feal-linear-cryptanalysis,0.0625,hard,hard,16,1,['gpt-5'],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
filter-js-from-html,0.0,hard,medium,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
financial-document-processor,0.0,hard,medium,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
fix-code-vulnerability,0.0625,hard,hard,16,1,['claude-sonnet-4-20250514'],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
fix-git,0.75,easy,medium,16,12,"['Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'grok-4-0709', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']","['OpenAI/gpt-oss-20B', 'gpt-5-nano', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8']"
fix-ocaml-gc,0.0,hard,hard,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
form-filling,0.6875,easy,medium,16,11,"['Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-code-fast-1', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']","['OpenAI/gpt-oss-20B', 'gemini-2.5-flash', 'gemini-2.5-pro', 'grok-4-0709', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8']"
git-leak-recovery,0.625,medium,medium,16,10,"['Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'zai-org/GLM-4.5-Air-FP8']","['OpenAI/gpt-oss-20B', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'openai/gpt-oss-120b']"
gpt2-codegolf,0.0,hard,hard,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
hf-model-inference,0.5,medium,medium,16,8,"['deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'grok-4-0709', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'zai-org/GLM-4.5-Air-FP8']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'gpt-5-nano', 'grok-code-fast-1', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b']"
install-klee-minimal,0.0,hard,medium,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
install-windows-3.11,0.0,hard,hard,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
large-scale-text-editing,0.125,hard,medium,16,2,"['claude-opus-4-1-20250805', 'claude-sonnet-4-20250514']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
largest-eigenval,0.0,hard,medium,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
log-summary-date-ranges,0.3125,hard,medium,16,5,"['Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'moonshotai/Kimi-K2-Instruct-0905', 'zai-org/GLM-4.5-Air-FP8']","['OpenAI/gpt-oss-20B', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'openai/gpt-oss-120b']"
make-doom-for-mips,0.0,hard,hard,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
make-mips-interpreter,0.0,hard,hard,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
merge-diff-arc-agi-task,0.1875,hard,medium,16,3,"['gemini-2.5-pro', 'gpt-5', 'grok-code-fast-1']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
model-extraction-relu-logits,0.0,hard,hard,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
mteb-leaderboard,0.0,hard,medium,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
mteb-retrieve,0.0,hard,medium,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']"
nginx-request-logging,0.375,medium,medium,16,6,"['claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'gemini-2.5-pro', 'gpt-5', 'grok-4-0709', 'zai-org/GLM-4.5-Air-FP8']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gpt-5-mini', 'gpt-5-nano', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b']"
openssl-selfsigned-cert,0.5625,medium,medium,16,9,"['claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'gemini-2.5-flash', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'zai-org/GLM-4.5-Air-FP8']"
